[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,SAMPLE S4 M VS H AT 3 KELVIN
FILEOPENTIME,2827018.81,06/20/2017,5:24 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,171,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FePc,SAMPLE_MATERIAL
INFO,SF20170517 S4,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,35.03,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,2827301.42,2.998965,0.061,,,2,,,,9.29000184491277,,,,,,,2.998965,2.998965,0.061,0.061,,,,,,,4881,3.0021,0.061,,,,,,,,,,,,,,,,,13.022443,,,,,,2.998965,,,,
,2827461.66,3.0027109,20000.257,-1.05639267791654E-5,6.81207147215767E-7,1,0.999253354069792,40.0298881530762,1.98017063595915,9.28000226616859,-0.00011542749479101,-3.78547195101804E-5,0.25,-1.46064629461392E-6,-1.05045238877485E-5,-1.51911141036861E-6,3.002063,3.0033588,19999.996,20000.518,51.6382881229862,18.3305600868586,0.610839,0,0,0,4929,2.9932,20000.257,,,,,,,,,,,,,,,,,12.644608,,,,,,3.0027109,,,,
,2827473.765,3.0029047,19896.243,-2.12083787932085E-5,5.35620084383259E-6,1,0.999253354069792,40.0298881530762,1.98037317711171,9.28000226616859,-0.000244023504233241,-8.39574398302161E-6,0.25,3.09922580614488E-6,-2.11262422154931E-5,2.95320958111598E-6,3.0025702,3.0032392,19871.691,19920.795,51.5218254736208,18.3352622047286,0.610839,0,0,0,4961,2.99725,19896.243,,,,,,,,,,,,,,,,,12.644608,,,,,,3.0029047,,,,
,2827474.585,3.0071092,19837.301,-1.03179671531345E-5,6.22138223743686E-7,1,0.999253354069792,40.0298881530762,1.98028640934187,9.28000226616859,-0.00011194287054526,-4.13945570410121E-5,0.25,-1.82106837144834E-6,-1.02573604540302E-5,-1.87615436127775E-6,3.0032392,3.0109792,19753.807,19920.795,51.4303749368708,18.3325987097449,0.610839,0,0,0,4961,3.00045,19837.301,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0071092,,,,
,2827475.875,3.008955,19663.0795,-9.3887972017281E-6,6.08372279005243E-7,1,0.999253354069792,40.0298881530762,1.98014017063604,9.28000226616859,-0.000101601965802147,-3.90479419864194E-5,0.25,-1.78071012503743E-6,-9.33274564171498E-6,-1.83010773437339E-6,3.0069308,3.0109792,19572.352,19753.807,51.6484492937362,18.3318586915785,0.6047974,0,0,0,4961,2.9954,19663.0795,,,,,,,,,,,,,,,,,13.022443,,,,,,3.008955,,,,
,2827477.015,3.003945,19517.4085,-9.65011699127241E-6,8.65218655613165E-7,1,0.999253354069792,40.0298881530762,1.9801447652958,9.28000226616859,-0.000105258465143468,-3.55613481665422E-5,0.25,-1.42232356626426E-6,-9.59490065256605E-6,-1.47494229590494E-6,3.0009592,3.0069308,19462.465,19572.352,51.4030179386978,18.3280592043163,0.6047974,0,0,0,4961,2.9902,19517.4085,,,,,,,,,,,,,,,,,12.644608,,,,,,3.003945,,,,
,2827478.17,3.00049665,19388.078,-8.30030215779882E-6,7.61779638172021E-7,1,0.999253354069792,40.0298881530762,1.98030472469491,9.28000226616859,-8.84287760559743E-5,-4.22349687738993E-5,0.25,-2.26250830166445E-6,-8.24632149874339E-6,-2.30266651947244E-6,3.0000341,3.0009592,19313.691,19462.465,51.3623732556977,18.3364236158891,0.610839,0,0,0,4961,2.99115,19388.078,,,,,,,,,,,,,,,,,13.400279,,,,,,3.00049665,,,,
,2827479.345,3.00215855,19236.862,-7.74051472170331E-6,7.06017357725844E-7,1,0.999253354069792,40.0298881530762,1.98019698451244,9.28000226616859,-8.19383475367714E-5,-4.22574725898316E-5,0.25,-2.36639827703563E-6,-7.68850705728475E-6,-2.40249909482974E-6,3.0000341,3.004283,19160.033,19313.691,51.5671599277362,18.3336286635562,0.610839,0,0,0,4961,2.9942,19236.862,,,,,,,,,,,,,,,,,13.400279,,,,,,3.00215855,,,,
,2827481.555,3.0036964,18972.4715,-6.10915025564329E-6,6.84584244357548E-7,1,0.999253354069792,40.0298881530762,1.98017486250583,9.28000226616859,-6.58319352434288E-5,-2.69295932314501E-5,0.25,-1.29484286129021E-6,-6.07149018590968E-6,-1.32596868932462E-6,3.0036964,3.0036964,18937.25,19007.693,51.485088933217,18.3323000746524,0.6078031,0,0,0,4961,2.9936,18972.4715,,,,,,,,,,,,,,,,,13.022443,,,,,,3.0036964,,,,
,2827482.44,3.003262,18866.9025,-5.28378966107387E-6,7.74144739089004E-7,1,0.999253354069792,40.0298881530762,1.98026275024576,9.28000226616859,-5.57061838832328E-5,-3.00937036433867E-5,0.25,-1.7268371300573E-6,-5.24745789781314E-6,-1.75075005689416E-6,3.0028276,3.0036964,18796.555,18937.25,51.586700640717,18.3345133247659,0.6078031,0,0,0,4961,2.9931,18866.9025,,,,,,,,,,,,,,,,,13.400279,,,,,,3.003262,,,,
,2827484.775,3.0017557,18605.046,-4.15246493959003E-6,9.01641549241199E-7,1,0.999253354069792,40.0298881530762,1.98022928231065,9.29000187665224,-4.19731050814186E-5,-3.3596973424268E-5,0.25,-2.24481870186852E-6,-4.11841506461093E-6,-2.25915450514779E-6,3.0017557,3.0017557,18582.035,18628.057,51.5179173310247,18.3337732019545,0.6047974,0,0,0,4961,2.9935,18605.046,,,,,,,,,,,,,,,,,13.022443,,,,,,3.0017557,,,,
,2827486.485,3.0029383,18406.494,-3.17767880263278E-6,9.55684798589633E-7,1,0.999253354069792,40.0298881530762,1.9802547519873,9.28000226616859,-3.09985465555679E-5,-3.18940234810026E-5,0.25,-2.26970622704328E-6,-3.14822461489061E-6,-2.27788691637115E-6,3.0029383,3.0029383,18396.258,18416.73,52.1322773471401,18.3343084095487,0.610839,0,0,0,4961,2.9941,18406.494,,,,,,,,,,,,,,,,,13.400279,,,,,,3.0029383,,,,
