[Header]
TITLE,MPMS DC Measurement
BYAPP,MPMS Measurement,2.1,Summary
FILEOPENTIME, 1164777384.812000 11/28/2006, 9:16:24 PM
INFO, APPNAME, MPMS MultiVu Application, Revision 1.56,  Build 67
INFO, NAME, FePc powder in capsule
INFO, WEIGHT, 0.000
INFO, AREA, 0.000
INFO, LENGTH, 0.000
INFO, SHAPE, 0
INFO, COMMENT, July 2006 FePc powder Sample
INFO, SEQUENCE FILE: FePc_MvsT.seq
INFO, BACKGROUND DATA FILE:, None
STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000
STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,15,16,17,18,27,28
FIELDGROUP,Transverse,1,2,3,4,10,11,12,13,14,19,20,21,22,27,28
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Algorithm,Long Reg Fit,Long Percent Error (%),Trans Moment (emu),Trans Scan Std Dev,Trans Algorithm,Trans Reg Fit,Trans Percent Error (%),Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Long Percent Error [w/o ABS] (%),Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],Trans Percent Error [w/o ABS] (%),Points per Scan,Scans per Measurement,Scan Length (cm),Delta Temp (K),Rot Position (deg),Error,EC Comp. Running,Using ABS,
1164777384.812,,0.000000e+000,3.000338e+002,-5.667422e-006,9.850326e-008,3,9.519828e-001,1.738061e+000,,,,,,,,,,,,,,32,5,4.000000e+000,1.571655e-002,0.000000e+000,0,,0,
1164777958.562,,0.000000e+000,2.901106e+002,-5.845325e-006,6.889804e-008,3,9.563373e-001,1.178686e+000,,,,,,,,,,,,,,32,5,4.000000e+000,1.451721e-001,0.000000e+000,0,,0,
1164778320.234,,0.000000e+000,2.800091e+002,-5.877079e-006,2.638842e-007,3,9.494680e-001,4.490057e+000,,,,,,,,,,,,,,32,5,4.000000e+000,4.512024e-001,0.000000e+000,0,,0,
1164778662.484,,0.000000e+000,2.699547e+002,-6.122229e-006,2.315187e-007,3,9.524940e-001,3.781607e+000,,,,,,,,,,,,,,32,5,4.000000e+000,4.545288e-001,0.000000e+000,0,,0,
1164779008.109,,0.000000e+000,2.599543e+002,-6.268513e-006,2.613405e-007,3,9.511281e-001,4.169099e+000,,,,,,,,,,,,,,32,5,4.000000e+000,4.424133e-001,0.000000e+000,0,,0,
1164779357.609,,0.000000e+000,2.499639e+002,-6.259655e-006,1.973285e-007,3,9.538380e-001,3.152385e+000,,,,,,,,,,,,,,32,5,4.000000e+000,4.188080e-001,0.000000e+000,0,,0,
1164779711.859,,0.000000e+000,2.399679e+002,-6.361582e-006,6.333030e-008,3,9.601642e-001,9.955118e-001,,,,,,,,,,,,,,32,5,4.000000e+000,3.411102e-001,0.000000e+000,0,,0,
1164780071.656,,0.000000e+000,2.299776e+002,-6.636334e-006,1.886386e-007,3,9.628099e-001,2.842512e+000,,,,,,,,,,,,,,32,5,4.000000e+000,3.303986e-001,0.000000e+000,0,,0,
1164780434.796,,0.000000e+000,2.199888e+002,-6.749790e-006,9.959967e-008,3,9.589186e-001,1.475596e+000,,,,,,,,,,,,,,32,5,4.000000e+000,3.099976e-001,0.000000e+000,0,,0,
1164780802.796,,0.000000e+000,2.100026e+002,-6.921005e-006,1.870895e-008,3,9.639466e-001,2.703212e-001,,,,,,,,,,,,,,32,5,4.000000e+000,2.707977e-001,0.000000e+000,0,,0,
1164781177.062,,0.000000e+000,2.000188e+002,-7.163259e-006,4.797986e-008,3,9.683601e-001,6.698049e-001,,,,,,,,,,,,,,32,5,4.000000e+000,2.456970e-001,0.000000e+000,0,,0,
1164781553.093,,0.000000e+000,1.900277e+002,-7.292334e-006,1.095941e-007,3,9.622687e-001,1.502867e+000,,,,,,,,,,,,,,32,5,4.000000e+000,2.070007e-001,0.000000e+000,0,,0,
1164781932.187,,0.000000e+000,1.800408e+002,-7.516988e-006,5.070881e-008,3,9.638977e-001,6.745894e-001,,,,,,,,,,,,,,32,5,4.000000e+000,1.970978e-001,0.000000e+000,0,,0,
1164782311.531,,0.000000e+000,1.700467e+002,-7.816781e-006,1.298158e-007,3,9.677025e-001,1.660732e+000,,,,,,,,,,,,,,32,5,4.000000e+000,1.421051e-001,0.000000e+000,0,,0,
