[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,TS101218AU, FEPC(200NM)/AU/SI, DEPOS. AT 180C, MVSH AT 100K
FILEOPENTIME,10446369.53,12/28/2010,4:36 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.2.4 Build 1,APPNAME
INFO,171,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,TS101218Au, FePc 200nm, 180C,SAMPLE_MATERIAL
INFO,MvsH measurement  at different temperatures,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,34.04,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,10446409.39,99.9647827,9999.1,-5.21746414928295E-5,4.52726980843915E-7,1,1.99338665628444,40.1327056884766,2.00189595509375,8.20000149309635,-0.000602250064255045,-8.34142966385805E-5,0.25,-2.46819208175211E-6,-5.24349410122212E-5,-2.64225657661175E-6,99.9647827,99.9647827,9999.1,9999.1,52.9084344667364,17.508401072617,41.7955322,0,0,0,4417,99.9181,9999.1,,,,,,,,,,,,,,,,,73.854034,,,,,,99.9647827,,,,
,10446421.3,99.9678574,9989.677,-5.30725341801495E-5,7.41071337596974E-7,1,1.99338665628444,40.1327056884766,2.00187918544775,8.20000149309635,-0.000612540008655687,-8.56144342076868E-5,0.25,-2.57668418544349E-6,-5.333710441339E-5,-2.75408606632065E-6,99.9678574,99.9678574,9989.677,9989.677,52.883422354121,17.5121981269411,42.2151985,0,0,0,4449,99.9176,9989.677,,,,,,,,,,,,,,,,,73.476204,,,,,,99.9678574,,,,
,10446422.39,99.96831515,9959.156,-5.21253424902306E-5,4.56660017780479E-7,1,1.99338665628444,40.1327056884766,2.00186525112493,8.20000149309635,-0.000601546045127549,-8.47236599997583E-5,0.25,-2.58571064036201E-6,-5.23850187315594E-5,-2.76023187101765E-6,99.9678574,99.9687729,9928.635,9989.677,52.9670566056787,17.5122041128592,42.00536535,0,0,0,4449,99.91835,9959.156,,,,,,,,,,,,,,,,,73.098366,,,,,,99.96831515,,,,
,10446424.415,99.96920395,9904.5905,-5.13808015596911E-5,4.37120367227007E-7,1,1.99338665628444,40.1327056884766,2.00187439031476,8.20000149309635,-0.00059349597425873,-7.75582361366392E-5,0.25,-2.03502591968847E-6,-5.16383548490682E-5,-2.20442037742765E-6,99.9687729,99.969635,9880.546,9928.635,53.0194257164671,17.5125455372328,41.3821449,0,0,0,4449,99.92005,9904.5905,,,,,,,,,,,,,,,,,72.720528,,,,,,99.96920395,,,,
,10446426.44,99.9693489,9853.4955,-5.14155920448854E-5,4.33936903882137E-7,1,1.99338665628444,40.1327056884766,2.00190807007521,8.20000149309635,-0.000593549876021724,-8.15595568956667E-5,0.25,-2.3769162474332E-6,-5.16722630537893E-5,-2.54818013772313E-6,99.9690628,99.969635,9826.445,9880.546,53.2273389025825,17.5147725860876,41.3821449,0,0,0,4449,99.92085,9853.4955,,,,,,,,,,,,,,,,,73.476204,,,,,,99.9693489,,,,
,10446428.44,99.9687004,9799.1145,-5.09508813399705E-5,3.58684722136722E-7,1,1.99338665628444,40.1327056884766,2.00191062962911,8.20000149309635,-0.000588302044697879,-7.95401774489479E-5,0.25,-2.24480905252914E-6,-5.12055700655332E-5,-2.41396724696639E-6,99.968338,99.9690628,9771.784,9826.445,53.0944620543133,17.5149480302542,42.00536535,0,0,0,4449,99.9203,9799.1145,,,,,,,,,,,,,,,,,73.854034,,,,,,99.9687004,,,,
,10446430.37,99.9678421,9747.6455,-5.05748347042027E-5,3.67734752296514E-7,1,1.99338665628444,40.1327056884766,2.00191668527423,8.20000149309635,-0.000584353869679182,-7.46252400569504E-5,0.25,-1.85488623991732E-6,-5.08287952243096E-5,-2.02088748254928E-6,99.9673462,99.968338,9723.507,9771.784,53.1562107073326,17.5139327269032,42.00536535,0,0,0,4449,99.92015,9747.6455,,,,,,,,,,,,,,,,,73.476204,,,,,,99.9678421,,,,
,10446432.345,99.9679756,9696.833,-5.03725097079555E-5,4.28216216477378E-7,1,1.99338665628444,40.1327056884766,2.00191087671623,8.20000149309635,-0.000581653624573478,-7.83090948415482E-5,0.25,-2.19100236847727E-6,-5.06243877080042E-5,-2.35811046537708E-6,99.9673462,99.968605,9670.159,9723.507,53.1429230225056,17.5146756821664,41.7955322,0,0,0,4449,99.9206,9696.833,,,,,,,,,,,,,,,,,73.476204,,,,,,99.9679756,,,,
,10446434.33,99.9683456,9646.3015,-4.97951134951421E-5,3.58993288447728E-7,1,1.99338665628444,40.1327056884766,2.00187795456759,8.20000149309635,-0.000575218770985477,-7.47433241555926E-5,0.25,-1.93582670775798E-6,-5.00448118477397E-5,-2.0998458176346E-6,99.9680862,99.968605,9622.444,9670.159,52.9873789471787,17.5152950417457,42.00536535,0,0,0,4449,99.92065,9646.3015,,,,,,,,,,,,,,,,,73.476204,,,,,,99.9683456,,,,
,10446436.355,99.9687271,9596.051,-4.9606472865659E-5,4.53641790228171E-7,1,1.99338665628444,40.1327056884766,2.00190655390767,8.20000149309635,-0.000572710701433757,-7.81794484440709E-5,0.25,-2.24922757009113E-6,-4.98542296492096E-5,-2.41427771880305E-6,99.9680862,99.969368,9569.658,9622.444,53.0014482605248,17.5151565734127,42.00536535,0,0,0,4449,99.92155,9596.051,,,,,,,,,,,,,,,,,73.476204,,,,,,99.9687271,,,,
