[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,TS100928SI1, FEPC(200NM)/SI, DEPOSITED AT 230C, HYSTERSIS LOOP AT 100K
FILEOPENTIME,15784175.91,03/07/2011,12:17 pm
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.6 Build 0,APPNAME
INFO,171,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FePc(200nm)/Si,SAMPLE_MATERIAL
INFO,TS100928Si1, FePc(200nm)/Si, Deposited at 230C,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,4x10mm,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,34.35,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,15784215.85,99.9891434,9999.681,-3.20420667907499E-5,1.75532721000979E-9,1,1.99338665628444,40.1327056884766,2.00199390947736,7.21000373363495,-0.000370087856284124,-4.88888671618092E-5,0.25,-1.31352648021354E-6,-3.22023479718579E-5,-1.41975374843266E-6,99.9886246,99.9896622,9999.174,10000.188,53.3367668952749,17.5873122525913,51.04141995,0,0,0,4417,99.7023,9999.681,,,,,,,,,,,,,,,,,73.476204,,,,,,99.9891434,,,,
,15784227.735,99.9895706,9979.217,-3.18715974587458E-5,1.10518441113098E-9,1,1.99338665628444,40.1327056884766,2.00202070289372,7.21000373363495,-0.000368007651733831,-4.9910301090641E-5,0.25,-1.41702385497902E-6,-3.20306822688243E-5,-1.52325334518695E-6,99.9895706,99.9895706,9974.814,9983.62,53.5204495972941,17.5900021539334,51.04141995,0,0,0,4449,99.70315,9979.217,,,,,,,,,,,,,,,,,73.098366,,,,,,99.9895706,,,,
,15784228.4,99.989357,9970.282,-3.28218924263646E-5,1.00437287880402E-9,1,1.99338665628444,40.1327056884766,2.00206770515807,7.21000373363495,-0.000378811920155397,-5.33534507257648E-5,0.25,-1.62780049823129E-6,-3.2985196757692E-5,-1.73806311050855E-6,99.9891434,99.9895706,9956.944,9983.62,53.7494667534288,17.5904632824662,51.04141995,0,0,0,4449,99.70295,9970.282,,,,,,,,,,,,,,,,,73.476204,,,,,,99.989357,,,,
,15784229.885,99.98960495,9932.7135,-3.18791436477432E-5,1.71930562199771E-9,1,1.99338665628444,40.1327056884766,2.00202728773303,7.21000373363495,-0.000368047058287289,-5.04616844196471E-5,0.25,-1.4638823480354E-6,-3.20381192843681E-5,-1.57038020590315E-6,99.9891434,99.9900665,9908.483,9956.944,53.8088705208903,17.5921882314143,51.04141995,0,0,0,4449,99.70325,9932.7135,,,,,,,,,,,,,,,,,73.098366,,,,,,99.98960495,,,,
,15784231.8,99.98943325,9881.246,-3.16935305395648E-5,1.70905732523179E-9,1,1.99338665628444,40.1327056884766,2.00204206571654,7.21000373363495,-0.000365915389680751,-5.00724971535757E-5,0.25,-1.44709099758613E-6,-3.18516009763439E-5,-1.5529367525758E-6,99.9888,99.9900665,9854.009,9908.483,53.7713523519672,17.5920433978522,51.04141995,0,0,0,4449,99.7002,9881.246,,,,,,,,,,,,,,,,,73.098366,,,,,,99.98943325,,,,
,15784233.79,99.9889221,9829.682,-3.14413829688101E-5,1.19081513540762E-9,1,1.99338665628444,40.1327056884766,2.00202646605163,7.21000373363495,-0.000362887589997985,-5.09300650772701E-5,0.25,-1.54393547314657E-6,-3.15978552394732E-5,-1.64950338908872E-6,99.9888,99.9890442,9805.355,9854.009,53.7987093501403,17.5918431541482,50.5315399,0,0,0,4449,99.69825,9829.682,,,,,,,,,,,,,,,,,73.098366,,,,,,99.9889221,,,,
,15784235.795,99.98942565,9778.4925,-3.11064406059063E-5,1.74610670072294E-9,1,1.99338665628444,40.1327056884766,2.00204240952015,7.20000365749001,-0.000358994659000504,-5.07177375835554E-5,0.25,-1.55593580021477E-6,-3.12611559428524E-5,-1.66052768266347E-6,99.9890442,99.9898071,9751.63,9805.355,53.8088705208903,17.5916680635514,50.5315399,0,0,0,4449,99.6997,9778.4925,,,,,,,,,,,,,,,,,73.098366,,,,,,99.98942565,,,,
,15784237.79,99.9889183,9727.4925,-3.12907947397084E-5,1.85667657696216E-9,1,1.99338665628444,40.1327056884766,2.00203772267926,7.20000365749001,-0.000361221935121304,-4.99090340280599E-5,0.25,-1.46948195835438E-6,-3.14467231199381E-5,-1.57420558706022E-6,99.9880295,99.9898071,9703.355,9751.63,53.6822467007749,17.5927914500039,51.04141995,0,0,0,4449,99.7012,9727.4925,,,,,,,,,,,,,,,,,73.098366,,,,,,99.9889183,,,,
,15784239.775,99.9885483,9676.117,-3.12808299161334E-5,1.84932563656649E-9,1,1.99338665628444,40.1327056884766,2.00204261860755,7.21000373363495,-0.000360748082589309,-5.38623810149389E-5,0.25,-1.8113727888681E-6,-3.14356445343884E-5,-1.91782092012911E-6,99.9880295,99.9890671,9648.879,9703.355,53.8119970349672,17.5922513309537,51.5513,0,0,0,4449,99.70315,9676.117,,,,,,,,,,,,,,,,,73.098366,,,,,,99.9885483,,,,
,15784241.805,99.9886284,9623.0505,-3.08038906517776E-5,1.95973037744373E-9,1,1.99338665628444,40.1327056884766,2.00197765471165,7.21000373363495,-0.000355670023720928,-4.82552798894718E-5,0.25,-1.37107455854968E-6,-3.09576250819424E-5,-1.47378584231978E-6,99.9881897,99.9890671,9597.222,9648.879,53.7236730122941,17.5929571623757,51.5513,0,0,0,4449,99.7046,9623.0505,,,,,,,,,,,,,,,,,73.098366,,,,,,99.9886284,,,,
