[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003, Quantum Design, Inc. All rights reserved.
TITLE,TS100917Si1_200nm_Fepc_160C_2014_05_21_MByrne
FILEOPENTIME,13908624.52,05/21/2014,11:33 am
BYAPP,VSM,1.0,1.0
INFO,PPMS VSM Option Release 1.3.7 Build 2,APPNAME
INFO,171,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,FePc/Si,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,34.95,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,13915994.845,3.512144,10001.828,9.71163888601929E-5,4.82615378159134E-7,1,0.999253354069792,40.0298881530762,1.99236549222226,5.83999795839191,0.00109357505773327,0.00019189531126063,0.25,-4.91279176786524E-7,9.6568943846896E-5,4.47694455388775E-8,3.5113657,3.5129223,10001.761,10001.895,53.9722308814096,18.9603324292863,3.8390055,0,0,0,4417,3.3372,10001.828,,,,,,,,,,,,,,,,,69.697838,,,,,,3.512144,,,,
,13916005.035,3.5034182,9909.604,9.72979687251948E-5,4.54327130087147E-7,1,0.999253354069792,40.0298881530762,1.99241029152895,5.83999795839191,0.00109558769939085,0.000192521255088184,0.25,-4.68034184918298E-7,9.67486398802132E-5,6.82203119485017E-8,3.5034182,3.5034182,9896.174,9923.034,54.0644630466788,18.9578255435787,3.8008451,0,0,0,4449,3.3393,9909.604,,,,,,,,,,,,,,,,,68.942169,,,,,,3.5034182,,,,
,13916005.495,3.5062107,9851.657,8.78806922423524E-5,4.44242002557533E-6,1,0.999253354069792,40.0298881530762,1.99241029152895,5.83999795839191,0.000978518917473397,0.000234901577853362,0.25,5.0010406225846E-6,8.73543981007859E-5,5.45422760068653E-6,3.5034182,3.5090032,9807.14,9896.174,54.0511753618519,18.9578255435787,3.78195475,0,0,0,4449,3.343,9851.657,,,,,,,,,,,,,,,,,69.697838,,,,,,3.5062107,,,,
,13916006.28,3.51109425,9754.075,9.80805199864609E-5,3.44635792305236E-7,1,0.999253354069792,40.0298881530762,1.99254769662263,5.83999795839191,0.00110550083186397,0.000188317111184351,0.25,-9.82906187392749E-7,9.75283375997164E-5,-4.4055465715628E-7,3.5090032,3.5131853,9701.01,9807.14,53.9698859958519,18.9605277506011,3.80103495,0,0,0,4449,3.3455,9754.075,,,,,,,,,,,,,,,,,69.697838,,,,,,3.51109425,,,,
,13916007.02,3.5131853,9661.562,9.78616707909767E-5,4.41066843438224E-7,1,0.999253354069792,40.0298881530762,1.99227033706611,5.83999795839191,0.00110321965245249,0.000185968038951301,0.25,-1.14911518011709E-6,9.73109084322948E-5,-6.07677229896405E-7,3.5131853,3.5131853,9622.114,9701.01,54.0605549040826,18.9626229249215,3.8390055,0,0,0,4449,3.34355,9661.562,,,,,,,,,,,,,,,,,68.942169,,,,,,3.5131853,,,,
,13916007.81,3.5127994,9552.8005,9.87110357899332E-5,3.34240749986095E-7,1,0.999253354069792,40.0298881530762,1.992491606804,5.83999795839191,0.0011124404021404,0.000190174624076868,0.25,-9.29516895133935E-7,9.81533726241076E-5,-3.85472111737958E-7,3.5124135,3.5131853,9483.487,9622.114,53.9276780558134,18.9606650454895,3.8390055,0,0,0,4449,3.34015,9552.8005,,,,,,,,,,,,,,,,,69.697838,,,,,,3.5127994,,,,
,13916008.825,3.5102322,9419.8065,9.87103424831398E-5,4.12540972141187E-7,1,0.999253354069792,40.0298881530762,1.99245600704709,5.83999795839191,0.00111175698538693,0.000193733948054212,0.25,-6.11565992484536E-7,9.81498959193694E-5,-7.03018538631785E-8,3.5080509,3.5124135,9356.126,9483.487,53.9394024836019,18.9578433584538,3.80103495,0,0,0,4449,3.33605,9419.8065,,,,,,,,,,,,,,,,,69.697838,,,,,,3.5102322,,,,
,13916009.84,3.50785265,9289.5345,9.88643941422856E-5,4.06666739360946E-7,1,0.999253354069792,40.0298881530762,1.99228116090086,5.83999795839191,0.00111396008882775,0.000190834301755832,0.25,-8.94553562802898E-7,9.83035784365101E-5,-3.51777109410053E-7,3.5076544,3.5080509,9222.943,9356.126,54.3083311446788,18.9585592713114,3.80103495,0,0,0,4449,3.3356,9289.5345,,,,,,,,,,,,,,,,,69.697838,,,,,,3.50785265,,,,
,13916010.825,3.50512465,9160.5775,9.9558275857493E-5,4.08221214028016E-7,1,0.999253354069792,40.0298881530762,1.99249324213861,5.83999795839191,0.00112160609343456,0.000193725891157838,0.25,-7.63506460905324E-7,9.89917545857184E-5,-2.18648005908002E-7,3.5025949,3.5076544,9098.212,9222.943,54.2739394898327,18.9614771185853,3.8390055,0,0,0,4449,3.33605,9160.5775,,,,,,,,,,,,,,,,,69.697838,,,,,,3.50512465,,,,
,13916011.82,3.50229485,9044.4905,9.95388544190602E-5,4.39674111499338E-7,1,0.999253354069792,40.0298881530762,1.99234265140149,5.83999795839191,0.00112251186704428,0.000186930480138439,0.25,-1.36178698319196E-6,9.89747701251711E-5,-8.14446768214203E-7,3.5019948,3.5025949,8990.769,9098.212,54.1254300711788,18.9602880399178,3.8199253,0,0,0,4449,3.3363,9044.4905,,,,,,,,,,,,,,,,,68.942169,,,,,,3.50229485,,,,
,13916012.815,3.5052851,8930.094,0.000100096090193564,5.10105886828562E-7,1,0.999253354069792,40.0298881530762,1.99236802506862,5.83999795839191,0.00112832501252714,0.000190604768892413,0.25,-1.13502057470443E-6,9.9526668769481E-5,-5.8679854657223E-7,3.5019948,3.5085754,8869.419,8990.769,54.3810225969673,18.9575688562515,3.78195475,0,0,0,4449,3.3373,8930.094,,,,,,,,,,,,,,,,,68.942169,,,,,,3.5052851,,,,
,13916013.815,3.5065521,8804.6135,9.94868871672559E-5,3.64619775818588E-7,1,0.999253354069792,40.0298881530762,1.99238139718807,5.83999795839191,0.00112054720499831,0.000194464493154199,0.25,-6.80902686541473E-7,9.89175279489049E-5,-1.39505193645188E-7,3.5045288,3.5085754,8739.808,8869.419,53.3727218071595,18.9574748243034,3.80103495,0,0,0,4449,3.33745,8804.6135,,,,,,,,,,,,,,,,,69.697838,,,,,,3.5065521,,,,
,13916014.845,3.5073866,8680.447,0.000100130934628857,4.20747142992649E-7,1,0.999253354069792,40.0298881530762,1.9923278394428,5.83999795839191,0.00112824061482728,0.000193058413387974,0.25,-9.20672872453965E-7,9.95581833789008E-5,-3.75325197063726E-7,3.5045288,3.5102444,8621.086,8739.808,53.6150266481211,18.9584044372741,3.8199253,0,0,0,4449,3.3367,8680.447,,,,,,,,,,,,,,,,,68.942169,,,,,,3.5073866,,,,
,13916015.83,3.5104003,8570.2745,9.97759883349402E-5,3.88891448519993E-7,1,0.999253354069792,40.0298881530762,1.99226493901264,5.83999795839191,0.00112351474541044,0.000196143259396352,0.25,-5.80837170673916E-7,9.92025935329567E-5,-4.01721662389386E-8,3.5102444,3.5105562,8519.463,8621.086,53.6040838488518,18.9596493472198,3.8199253,0,0,0,4449,3.3375,8570.2745,,,,,,,,,,,,,,,,,68.942169,,,,,,3.5104003,,,,
,13916016.8,3.5108006,8448.9265,0.000100473426939062,4.38475277737562E-7,1,0.999253354069792,40.0298881530762,1.99220363843971,5.83999795839191,0.00113199687387797,0.000193776982521052,0.25,-9.15563881307093E-7,9.98968528337281E-5,-3.70101413880798E-7,3.5105562,3.511045,8378.39,8519.463,53.5564045091787,18.9592871002339,3.8199253,0,0,0,4449,3.339,8448.9265,,,,,,,,,,,,,,,,,69.697838,,,,,,3.5108006,,,,
,13916017.8,3.5105846,8327.5785,0.000100264058243294,4.96522520851227E-7,1,0.999253354069792,40.0298881530762,1.99238987327673,5.83999795839191,0.00113022581115183,0.000190644177733663,0.25,-1.15675877077151E-6,9.96890440103501E-5,-6.11914059337756E-7,3.5101242,3.511045,8276.767,8378.39,53.7049139278326,18.9591762926166,3.78195475,0,0,0,4449,3.3376,8327.5785,,,,,,,,,,,,,,,,,68.942169,,,,,,3.5105846,,,,
,13916018.79,3.5063863,8219.473,0.000100447800279597,4.33449489021883E-7,1,0.999253354069792,40.0298881530762,1.99227518058372,5.83999795839191,0.00113171990552488,0.000193772329652815,0.25,-9.09940027560811E-7,9.98695545603906E-5,-3.66334369724794E-7,3.5026484,3.5101242,8162.179,8276.767,53.9675411102942,18.9616778624692,3.80103495,0,0,0,4449,3.33515,8219.473,,,,,,,,,,,,,,,,,68.942169,,,,,,3.5063863,,,,
,13916019.795,3.50214365,8100.567,0.000100971266249985,4.15517565263794E-7,1,0.999253354069792,40.0298881530762,1.99246900829052,5.83999795839191,0.00113874017375848,0.000189120910395928,0.25,-1.41852777584125E-6,0.000100391775738241,-8.70037749499219E-7,3.5016389,3.5026484,8038.955,8162.179,54.2762843753904,18.9588367532155,3.8199253,0,0,0,4449,3.3342,8100.567,,,,,,,,,,,,,,,,,69.697838,,,,,,3.50214365,,,,
,13916020.825,3.50258385,7982.319,0.000101132334649975,3.61299243118529E-7,1,0.999253354069792,40.0298881530762,1.99244437105403,5.83999795839191,0.00113895876691468,0.000198134754195627,0.25,-6.4507355901383E-7,0.00010054685172083,-1.01095531106588E-7,3.5016389,3.5035288,7925.683,8038.955,53.3602157508518,18.9600769241232,3.8199253,0,0,0,4449,3.33455,7982.319,,,,,,,,,,,,,,,,,68.942169,,,,,,3.50258385,,,,
,13916021.835,3.5001714,7876.4665,0.000101136364593674,4.15666804571707E-7,1,0.999253354069792,40.0298881530762,1.99248279652564,5.83999795839191,0.00113954190768313,0.000195233065732879,0.25,-9.03143562778173E-7,0.000100551416265316,-3.58423541885506E-7,3.496814,3.5035288,7827.25,7925.683,53.8354458905442,18.9589252734775,3.8390055,0,0,0,4449,3.33595,7876.4665,,,,,,,,,,,,,,,,,69.697838,,,,,,3.5001714,,,,
,13916022.815,3.50091995,7771.272,0.000101325983426183,4.15842631228935E-7,1,0.999253354069792,40.0298881530762,1.99240635301422,5.83999795839191,0.00114153815789755,0.000196079166562186,0.25,-8.60582065103422E-7,0.000100738888649705,-3.15877767710456E-7,3.496814,3.5050259,7715.294,7827.25,54.0613365326019,18.959015302703,3.80103495,0,0,0,4449,3.33725,7771.272,,,,,,,,,,,,,,,,,69.697838,,,,,,3.50091995,,,,
,13916023.815,3.5071862,7655.278,0.000101672645266177,3.3628786221856E-7,1,0.999253354069792,40.0298881530762,1.9923927376084,5.83999795839191,0.00114639876963673,0.00019135697757468,0.25,-1.34182451956634E-6,0.000101085188380134,-7.93320889453326E-7,3.5050259,3.5093465,7595.262,7715.294,54.1254300711788,18.9584031059788,3.80103495,0,0,0,4449,3.33795,7655.278,,,,,,,,,,,,,,,,,69.697838,,,,,,3.5071862,,,,
,13916024.855,3.50674465,7540.2225,0.00010140305158125,3.98925906560181E-7,1,0.999253354069792,40.0298881530762,1.99251017188331,5.83999795839191,0.00114309158555075,0.000192648298949633,0.25,-1.17833373502326E-6,0.000100815415324126,-6.33068676006285E-7,3.5041428,3.5093465,7485.183,7595.262,54.1559135834288,18.9599506344588,3.80103495,0,0,0,4449,3.3379,7540.2225,,,,,,,,,,,,,,,,,68.942169,,,,,,3.50674465,,,,
,13916025.84,3.50634005,7425.9175,0.000102014045986562,4.10984773326641E-7,1,0.999253354069792,40.0298881530762,1.99228588481477,5.83999795839191,0.00115067785579396,0.000189160161780686,0.25,-1.59584976355072E-6,0.000101424161829434,-1.04573988376482E-6,3.5041428,3.5085373,7366.652,7485.183,54.4232305370057,18.9617297832017,3.80103495,0,0,0,4449,3.33805,7425.9175,,,,,,,,,,,,,,,,,68.942169,,,,,,3.50634005,,,,
,13916026.805,3.50609265,7311.613,0.000102592885635416,3.41106967090789E-7,1,0.999253354069792,40.0298881530762,1.99249202496814,5.83999795839191,0.00115591712178333,0.000197988067173709,0.25,-9.16236160343626E-7,0.000101995122111115,-3.678985156223E-7,3.503648,3.5085373,7256.574,7366.652,54.0410141911019,18.9594339820218,3.80103495,0,0,0,4449,3.3374,7311.613,,,,,,,,,,,,,,,,,69.320007,,,,,,3.50609265,,,,
,13916027.825,3.50392135,7213.1835,0.000102540014664871,4.30048024044963E-7,1,0.999253354069792,40.0298881530762,1.99245933632052,5.83999795839191,0.00115500508467681,0.000199483997481794,0.25,-7.72551267950399E-7,0.000101941046131745,-2.26073250580228E-7,3.503648,3.5041947,7169.793,7256.574,53.8971945435634,18.9593038247804,3.80103495,0,0,0,4449,3.33595,7213.1835,,,,,,,,,,,,,,,,,69.320007,,,,,,3.50392135,,,,
,13916028.81,3.5057194,7111.278,0.000102500033857658,4.06984536277682E-7,1,0.999253354069792,40.0298881530762,1.99242532331876,5.83999795839191,0.001154892542514,0.00019737399515797,0.25,-9.51719403742125E-7,0.000101901467361244,-4.05158576887679E-7,3.5041947,3.5072441,7052.763,7169.793,54.0425774481403,18.961109670409,3.8199253,0,0,0,4449,3.3367,7111.278,,,,,,,,,,,,,,,,,69.697838,,,,,,3.5057194,,,,
